taxa,A4F_92332_V1,A4F_94336_V1,A4F_35752_V1,A4F_84740_V1,A4F_67757_V1,A4F_56718_V1,A4F_76292_V1,A4F_69129_V1,A4F_73455_V1,A4F_74720_V1,A4F_94120_V1,A4F_32988_V1,A4F_51606_V1,A4F_94601_V1,A4F_98040_V1,A4F_20573_V1,A4F_52749_V1,A4F_60429_V1,A4F_91362_V1,A4F_99000_V1,A4F_95200_V1,A4F_17419_V1,A4F_56279_V1,A4F_45118_V1,A4F_91516_V1,A4F_50227_V1,A4F_85240_V1,A4F_76383_V1,A4F_82994_V1,A4F_71665_V1,A4F_10355_V1,A4F_84962_V1,A4F_10660_V1,A4F_28689_V1,A4F_91594_V1,A4F_65060_V1,A4F_44160_V1,A4F_49219_V1,A4F_13368_V1,A4F_97618_V1,A4F_48857_V1,A4F_96181_V1,A4F_89897_V1,A4F_97386_V1,A4F_65695_V1,A4F_41207_V1,A4F_45863_V1,A4F_77391_V1,A4F_70954_V1,A4F_25413_V1,A4F_33497_V1,A4F_70804_V1,A4F_98453_V1,A4F_78358_V1,A4F_34415_V1,A4F_84534_V1,A4F_72388_V1,A4F_31649_V1,A4F_22643_V1,A4F_29474_V1,A4F_53145_V1,A4F_74742_V1,A4F_10709_V1,A4F_43794_V1,A4F_56296_V1,A4F_62344_V1,A4F_24211_V1,A4F_42312_V1,A4F_68106_V1,A4F_79824_V1,A4F_60728_V1,A4F_31033_V1,A4F_18098_V1,A4F_17705_V1,A4F_37469_V1,A4F_70068_V1,A4F_10021_V1,A4F_28771_V1,A4F_93308_V1,A4F_76068_V1,A4F_39976_V1,A4F_56355_V1,A4F_76957_V1,A4F_65724_V1,A4F_92332_V3,A4F_94336_V3,A4F_35752_V3,A4F_84740_V3,A4F_67757_V3,A4F_56718_V3,A4F_76292_V3,A4F_69129_V3,A4F_73455_V3,A4F_74720_V3,A4F_94120_V3,A4F_32988_V3,A4F_51606_V3,A4F_94601_V3,A4F_98040_V3,A4F_20573_V3,A4F_52749_V3,A4F_60429_V3,A4F_91362_V3,A4F_99000_V3,A4F_95200_V3,A4F_17419_V3,A4F_56279_V3,A4F_45118_V3,A4F_91516_V3,A4F_50227_V3,A4F_85240_V3,A4F_76383_V3,A4F_82994_V3,A4F_71665_V3,A4F_10355_V3,A4F_84962_V3,A4F_10660_V3,A4F_28689_V3,A4F_91594_V3,A4F_65060_V3,A4F_44160_V3,A4F_49219_V3,A4F_13368_V3,A4F_97618_V3,A4F_48857_V3,A4F_96181_V3,A4F_89897_V3,A4F_97386_V3,A4F_65695_V3,A4F_41207_V3,A4F_45863_V3,A4F_77391_V3,A4F_70954_V3,A4F_25413_V3,A4F_33497_V3,A4F_70804_V3,A4F_98453_V3,A4F_78358_V3,A4F_34415_V3,A4F_84534_V3,A4F_72388_V3,A4F_31649_V3,A4F_22643_V3,A4F_29474_V3,A4F_53145_V3,A4F_74742_V3,A4F_10709_V3,A4F_43794_V3,A4F_56296_V3,A4F_62344_V3,A4F_24211_V3,A4F_42312_V3,A4F_68106_V3,A4F_79824_V3,A4F_60728_V3,A4F_31033_V3,A4F_18098_V3,A4F_17705_V3,A4F_37469_V3,A4F_70068_V3,A4F_10021_V3,A4F_28771_V3,A4F_93308_V3,A4F_76068_V3,A4F_39976_V3,A4F_56355_V3,A4F_76957_V3,A4F_65724_V3
k__Bacteria|p__Actinomycetota|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9361|s__GGB9361_SGB14336|t__SGB14336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189108045742734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194139268675528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734837771614548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022308434867814,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hominilimicola|s__Hominilimicola_fabiformis|t__SGB4269,0.0367042799847421,0,0.0097419897871779,0.0652673607725891,0.0863654822062059,0.024173036414502,0.2853747811399846,0.0013252380875868,0.1492805102029105,0.0871256322855465,0.0038402900123503,0,0.0439297807630098,0.0477936223877127,0.1485115534542226,0,0.2552508835952854,0.0206658212139099,0.0064819297306866,0.0210194216532357,0.1546371918885254,0.1993253471488928,0.0155869137749404,0.4618286380220006,0.0102835299900728,0.5091,0.0164201867162566,0.0450660189401943,0.0719400729596772,0.0183122683221203,0.0344487216677321,0.0220637940821628,0.0167785934411917,0.0520661672539135,0.0783957016299976,0,0.0632417200343232,0,0.0139065764358255,0,0.1792935232355179,0,0,0,0.06855,0.1487247915227659,0,0,0.0073762897827455,0.0332115924709164,0.0206207495822875,0.344210530209977,0.0547513401676512,0.0351070591315268,0.2083798157537525,0.0088468701987875,0.0884264094730557,0.0975364360566538,0.0787790124449904,0,0,0.00818,0.001049705924689,0.0209071221688049,0.1825870042109296,0.0236835487406665,0.0182595576603824,0.010170407919946,0.5455615772854827,0.0307258454137444,0,0.0655978893862365,0.1066678036073307,0.0029871490768939,0.4526660124588257,0,0.0979525503072148,0.0749277888033156,0.0852004943364753,0.0490475560095239,0,0,0.1288359556092125,0.092931443755692,0.048145419632,0,0,0.0017264797905247,0.0476851773762226,0.0240252407006565,0.296190222559085,0,0.1134156243241186,0.0062646115956181,0,0.0909285989840571,0.004581921916124,0.0139383456306421,0.0359525071312589,0,0.074544033618185,0.0061645705386813,0.12437,0.1159635821534497,0.1232378890901555,0.0636962957868908,0.0431942940221295,0.1102438698543325,0,0.1834543913059141,0.0062750767823456,0.0554303526233019,0.0023527315561294,0.0371540841591003,0.0097123366058249,0.0656889698904707,0,0.3094049270968626,0.0657578470335422,0.0087102624768207,0.8303706251254639,0,0.0609613199914127,0,0.0388500586634676,0,0.0015729377662484,0.02199,0.01369,0.2605594172090735,0,0.0598583201989996,0.0036854036510084,0.13261539677888,0.0354866878642694,0.0730392847663778,0.1490862515485748,0.0370659486603897,0.1219140130834235,0.0303492501487168,0.1616965547612009,0.0638658428656914,0.0457794650468855,0.0410902285083648,0,0.2877271129068316,0,0.0909401461528892,0.0170269000386623,0.0411434853632923,0.0260664557862697,0.0081093315839508,0.0366255261113408,0.0431425211935712,0,0.1434736987875442,0.1469031422108981,0.0611614415906594,0.1880205748421723,0,0.0832031064555609,0.040192443401757,0.3511702996176561,0.052371720218763,0.071106645953513,0.0543301998163311,0.3731727070474988,0.3662407625237988
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__GGB6007|s__GGB6007_SGB8633|t__SGB8633,0.2351078979134038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1286058886681154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB143497|s__GGB143497_SGB15224|t__SGB15224,0,0.036240107539313,0,0.6107458907578697,0.5177621894014283,0.1769388239601537,0,0.0174914437329571,0,0,0,0.0110429706061871,0,0,0,0.0291572384319351,0.1112948648230414,0.1243246536245183,0,0,0.0216851910241716,0.1087008059537737,0.4063344063171753,0,0.4014853212468562,0,0.011989187077004,0.0341145103160835,0,0,0,0,0.094361350505137,0.5606143068025028,0,0.1992451180023229,0.613579840279581,0,0,0,0.1278358214481103,0,0.0348499414339215,0.02866,0,0,0.4747636887117157,0,0.0017063408937263,0.0286580185934163,0,0.0291425408546006,0.2479070083346571,0.0932045002854565,0,1.3677440959207792,0,0,0,0,0.2300780007180735,0.04835,0,1.164784840023607,0.0043571085383537,0.1303521767150614,0.4141459692564411,0,0,1.0331918863310874,0.0516633721769425,0.0667014390973673,0,0.3062894642772346,0.2551254754317136,0,0.0479025805953381,0,0.3977333760065173,0,0.0368752593158551,0,0,0.1545971417702115,0,0.0222973550988751,0,0.0356563510422059,0.7332468311424281,0.1256591778344974,0,0.010348165708981,0,0,0,0.3180524455617656,0,0,0,0.0053114428697164,0.079882783629711,0.0048442845650424,0,0,0.0559615299634366,0.2306372269189766,0.0684028294918671,0,0.0306369340463866,0,0.0013901708563965,0.3198549857006401,0,0,0,0,0.0275353434686053,0.4170197838888496,0,0.1100854601947873,0.0811285707586934,0,0,0,0.17403776279648,0,0.0556052225818431,0,0,0,0.5178392214623416,0,0.0025444880441261,0.0214594787105282,0,0.0465938622397748,0.1782998397354551,0.1499570219518065,0,2.0260057847879573,0,0,0,0,0.1501065506128314,0.0600362260845216,0,0.2507307247893682,0.0381503621428004,0.004802670156018,0.5158542816946585,4.243791272602e-4,0,0.0346172980849718,0,0.0348310782315792,0,0.2352291134333136,0.2875135696882337,0.0011865754266126,0.1246242030315917,0,0.4193687163066827,0,0.0575985025081521,0,0,0.0523987819086481
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4555|s__GGB4555_SGB6286|t__SGB6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508804703496892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009778174079774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_sp_TJ11|t__SGB71037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069494370703289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013737446400047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055477471756936,0,0,0,0,0,0,0,0,0,0.0024582551009931,0,0
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB9537|s__GGB9537_SGB14940|t__SGB14940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099104971798509,0.0108510014776048,0,0,0,0,0,0.003630324065774,0,0.0126107505100699,0,0,0,0,0.0832499698274964,0,0.0077155000526042,0,0.1136117246880659,0,0,0,0,0,0.0043315749260033,0,0,0,0,0,0,0,0,0,0.0060468511409717,0,0,0,0,0.0034374857131839,0,0,0,0,0,0.0128544617414666,0,0,0,0,0.0038453336179094,0,0,0,0.0063130605157317,0,0,0,0,0,0,0,0,6.776551493769e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092058753625297,0.0012999558578251,0,0,0,0,0,0.0125378295766277,0,0.0117061085010112,0,0,0,0,0.0917232975687305,0,0.004266660023688,0,0.1109636641391251,0,0,0,0,0,0.0788479617115419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125785057795206,0,0,0,0,0,0.0190427295055375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030215997502271,0,0.0178839557984162,0,0,0,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1260|s__GGB1260_SGB1692|t__SGB1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549507273389085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7894401703975311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena|t__SGB10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131759490517494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223|f__FGB73223|g__GGB9249|s__GGB9249_SGB14193|t__SGB14193,0,0,0,0,0,0,0,0,0,0.022837254785085,0,0,0,0,0,0.6644571562479663,0,0,0,0,0,0.7742478534348461,0.0148102772832574,0,0,0,0,0,0,0,0,0,0.7886668421422779,0,0,0.0147923522822237,0,0,0,0.2973155363339773,0,0,0,0,0,0,0.1311964286942861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917413208455944,0.8326666242023488,0,0,0,0.1366209175345812,0,0,0.2534324432737538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754721343580807,0,0.0065559888791352,0,0,0,0,0,0.2305879402732719,0,0,0,0,0.0115283165059857,0.4869934819175566,0,0,0,0,0,0,0,0,0,0,0.5855381422835835,0,0,0.0353332075952059,0,0,0,0.3583917493457581,0,0,0,0,0,0,0.0081292780125776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2885818178098956,0.6915759600501707,0,0,0,0.4086918935099046,0,0,0.4574565062713677,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB141206|s__GGB141206_SGB209149|t__SGB209149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733561056640258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196674920608731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
